event_id,simulation_id,actor_user_id,action,details,event_at_utc
E1,sim_smoke,U_ADMIN,SETUP_SIMULATION,Created simulation 'Smoke Test' with 5 airlines and 3 rounds,2026-03-08T23:22:03.711228+00:00
E2,sim_smoke,U_ADMIN,START_SIMULATION,Started simulation and opened round 1,2026-03-08T23:22:08.529159+00:00
E3,sim_smoke,A,UPDATE_DECISION,round=1; team_id=A; flights_per_day=3; price_business=360.0; price_leisure=180.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:10.876020+00:00
E4,sim_smoke,B,UPDATE_DECISION,round=1; team_id=B; flights_per_day=3; price_business=360.0; price_leisure=180.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:12.426093+00:00
E5,sim_smoke,C,UPDATE_DECISION,round=1; team_id=C; flights_per_day=3; price_business=360.0; price_leisure=180.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:14.062936+00:00
E6,sim_smoke,D,UPDATE_DECISION,round=1; team_id=D; flights_per_day=3; price_business=360.0; price_leisure=180.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:15.679078+00:00
E7,sim_smoke,E,UPDATE_DECISION,round=1; team_id=E; flights_per_day=3; price_business=360.0; price_leisure=180.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:17.212890+00:00
E8,sim_smoke,U_ADMIN,MOVE_NEXT_ROUND,closed_round=1; opened_round=2; status=STARTED; processed_teams=5,2026-03-08T23:22:18.755817+00:00
E9,sim_smoke,A,ENTER_DECISION,round=2; team_id=A; flights_per_day=3; price_business=450.0; price_leisure=220.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:22.057928+00:00
E10,sim_smoke,B,ENTER_DECISION,round=2; team_id=B; flights_per_day=3; price_business=360.0; price_leisure=180.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:23.722106+00:00
E11,sim_smoke,C,ENTER_DECISION,round=2; team_id=C; flights_per_day=3; price_business=290.0; price_leisure=140.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:25.310451+00:00
E12,sim_smoke,D,ENTER_DECISION,round=2; team_id=D; flights_per_day=3; price_business=360.0; price_leisure=180.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:26.863018+00:00
E13,sim_smoke,E,ENTER_DECISION,round=2; team_id=E; flights_per_day=3; price_business=290.0; price_leisure=140.0; branding_level=Medium; product_strategy=Low,2026-03-08T23:22:28.383369+00:00
E14,sim_smoke,U_ADMIN,MOVE_NEXT_ROUND,closed_round=2; opened_round=3; status=STARTED; processed_teams=5,2026-03-08T23:22:29.989573+00:00
E15,sim_smoke,U_ADMIN,UNDO_ROUND,reopened_round=2; rolled_back_open_round=3; status=STARTED,2026-03-08T23:22:32.867174+00:00
E16,sim_smoke,U_ADMIN,END_SIMULATION,status_before=STARTED; closed_rounds=1; locked_rounds=1,2026-03-08T23:22:36.163339+00:00
