key,value,notes
total_demand_passengers,120000,Total monthly demand in passengers
business_demand,48000,40% of total – business segment
leisure_demand,72000,60% of total – leisure segment
seats_per_flight,200,Seat capacity per flight
fixed_cost_per_flight,18000,Fixed cost per flight ($)
days_per_month,30,Days in one monthly round
discount_penalty_threshold,3,Min airlines choosing Discount to trigger penalty
discount_penalty_rate,0.08,Revenue penalty rate when threshold met
fare_business_premium,450,Business fare – Premium posture
fare_business_match,360,Business fare – Match posture
fare_business_discount,290,Business fare – Discount posture
fare_leisure_premium,220,Leisure fare – Premium posture
fare_leisure_match,180,Leisure fare – Match posture
fare_leisure_discount,140,Leisure fare – Discount posture
branding_cost_low,1000000,Monthly branding cost – Low
branding_cost_medium,3000000,Monthly branding cost – Medium
branding_cost_high,5000000,Monthly branding cost – High
product_cost_premium_cabin,4000000,Monthly cost – Premium Cabin
product_cost_basic_economy,3000000,Monthly cost – Basic Economy
product_cost_digital_loyalty,2000000,Monthly cost – Digital/Loyalty
product_cost_none,0,Monthly cost – None
fare_multiplier,3.0,Avg monthly trips per passenger (JFK–BOS shuttle corridor)
