simulation_id,round_number,team_id,passengers,revenue,variable_cost,fixed_cost,branding_cost,product_cost,total_cost,profit,market_share_volume,market_share_profit,load_factor,avg_revenue_per_flight,avg_cost_per_flight,avg_profit_per_flight,price_business,price_leisure,csi,oei,created_at_utc
sim_001,0,A,26400,22292000.0,4092000,2700000,5000000,4000000,15792000,6500000,0.22,0.26,0.88,148613.33,105280.0,43333.33,450,220,88,78,2026-03-01T13:04:36.220682+00:00
sim_001,0,B,22800,15836000.0,3876000,2160000,3000000,2000000,11036000,4800000,0.19,0.19,0.95,131966.67,91966.67,40000.0,360,180,82,72,2026-03-01T13:04:36.220682+00:00
sim_001,0,C,21600,15816000.0,3456000,2160000,3000000,3000000,11616000,4200000,0.18,0.17,0.9,131800.0,96800.0,35000.0,360,180,76,74,2026-03-01T13:04:36.220682+00:00
sim_001,0,D,19200,12156000.0,2496000,2160000,1000000,2000000,7656000,4500000,0.16,0.18,0.8,101300.0,63800.0,37500.0,290,140,68,86,2026-03-01T13:04:36.220682+00:00
sim_001,0,E,15600,9336000.0,1716000,1620000,1000000,3000000,7336000,2000000,0.13,0.08,0.8667,103733.33,81511.11,22222.22,290,140,62,90,2026-03-01T13:04:36.220682+00:00
sim_001,0,F,14400,11708000.0,2088000,1620000,3000000,2000000,8708000,3000000,0.12,0.12,0.8,130088.89,96755.56,33333.33,450,220,80,76,2026-03-01T13:04:36.220682+00:00
sim_001,1,A,30000,5477400.00,4650000.00,2700000.00,5000000.00,4000000.00,16350000.00,-10872600.00,0.254341,0.000000,1.0000,36516.00,109000.00,-72484.00,250.00,130.00,,,2026-03-01T13:25:23.802405+00:00
sim_001,1,B,18221,4594320.00,3097570.00,2160000.00,3000000.00,2000000.00,10257570.00,-5663250.00,0.154478,0.000000,0.7592,38286.00,85479.75,-47193.75,360.00,180.00,,,2026-03-01T13:25:23.802405+00:00
sim_001,1,C,18221,4594320.00,2915360.00,2160000.00,3000000.00,3000000.00,11075360.00,-6481040.00,0.154478,0.000000,0.7592,38286.00,92294.67,-54008.67,360.00,180.00,,,2026-03-01T13:25:23.802405+00:00
sim_001,1,D,23103,4594320.00,3003390.00,2160000.00,1000000.00,2000000.00,8163390.00,-3569070.00,0.195868,0.000000,0.9626,38286.00,68028.25,-29742.25,290.00,140.00,,,2026-03-01T13:25:23.802405+00:00
sim_001,1,E,17327,3445630.00,1905970.00,1620000.00,1000000.00,3000000.00,7525970.00,-4080340.00,0.146899,0.000000,0.9626,38284.78,83621.89,-45337.11,290.00,140.00,,,2026-03-01T13:25:23.802405+00:00
sim_001,1,F,11080,3445230.00,1606600.00,1620000.00,3000000.00,2000000.00,8226600.00,-4781370.00,0.093937,0.000000,0.6156,38280.33,91406.67,-53126.33,450.00,220.00,,,2026-03-01T13:25:23.802405+00:00
sim_001,2,A,30000,5040000.00,4650000.00,2700000.00,5000000.00,4000000.00,16350000.00,-11310000.00,0.259603,0.000000,1.0000,33600.00,109000.00,-75400.00,220.00,120.00,,,2026-03-01T13:28:54.240566+00:00
sim_001,2,B,17724,4457520.00,3013080.00,2160000.00,3000000.00,2000000.00,10173080.00,-5715560.00,0.153374,0.000000,0.7385,37146.00,84775.67,-47629.67,360.00,180.00,,,2026-03-01T13:28:54.240566+00:00
sim_001,2,C,17724,4457520.00,2835840.00,2160000.00,3000000.00,3000000.00,10995840.00,-6538320.00,0.153374,0.000000,0.7385,37146.00,91632.00,-54486.00,360.00,180.00,,,2026-03-01T13:28:54.240566+00:00
sim_001,2,D,22476,4457490.00,2921880.00,2160000.00,1000000.00,2000000.00,8081880.00,-3624390.00,0.194495,0.000000,0.9365,37145.75,67349.00,-30203.25,290.00,140.00,,,2026-03-01T13:28:54.240566+00:00
sim_001,2,E,16857,3343080.00,1854270.00,1620000.00,1000000.00,3000000.00,7474270.00,-4131190.00,0.145871,0.000000,0.9365,37145.33,83047.44,-45902.11,290.00,140.00,,,2026-03-01T13:28:54.240566+00:00
sim_001,2,F,10780,3343120.00,1563100.00,1620000.00,3000000.00,2000000.00,8183100.00,-4839980.00,0.093284,0.000000,0.5989,37145.78,90923.33,-53777.56,450.00,220.00,,,2026-03-01T13:28:54.240566+00:00
